issue_id,award_id,userid,issue_reason,issue_time
7638,254,58029,For being an epic member of this division and helping to get this going I award this very first awarded badge to you!,1636556946
7639,254,30720,For being one of the two Pathfinder Commanders getting this epic piece of our Division up and running - Congratulations,1636557004
7640,253,3469,"For everything you do, and for helping to command the Reapers in NW - thank you, and Congratulations",1636557082
7650,16,82231,During November 2021 our division had 28 new recruits with Ovinus recruiting 14 of them.,1636833938
7668,18,46434,Congrats on 5 years with the clan.,1637280268
7670,68,27590,"for leading the platoons, again",1637379845
7671,68,51486,WarBoss with Commander Helmet,1637471703
7674,5,75419,Enrolled in the Advanced Specialization Program.,1637480315
7677,5,48920,Enrolled in the Advanced Specialization Program.,1637480522
7683,5,32542,Enrolled in the Advanced Specialization Program.,1637480881
7686,5,49460,Enrolled in the Advanced Specialization Program.,1637481030
7690,5,20923,Enrolled in the Advanced Specialization Program.,1637481276
7692,5,54541,Enrolled in the Advanced Specialization Program.,1637481383
7700,5,49121,Enrolled in the Advanced Specialization Program.,1637481777
7702,5,39551,Achieved battle rank 120.,1637481840
7703,5,78349,Enrolled in the Advanced Specialization Program.,1637481999
7705,5,74097,Enrolled in the Advanced Specialization Program.,1637482114
7706,5,80431,Enrolled in the Advanced Specialization Program.,1637482149
7707,5,31456,Enrolled in the Advanced Specialization Program.,1637482181
7708,5,56660,Enrolled in the Advanced Specialization Program.,1637482220
7709,179,73927,Super Science Saturday,1637530852
7711,179,58056,"",1637532445
7712,179,56835,"",1637532468
7715,257,81586,Guardian Angel Group Commander.,1637532660
7716,257,80293,Guardian Angel group member.,1637532660
7723,18,48716,5 years with AOD!,1637880439
7725,254,53683,Being the coolest CO and dabbling in everything!,1637889442
7726,253,53683,For being the coolest CO and dabbling in everything,1637889517
7730,68,75182,"for leading the platoons, again",1638002633
7735,254,22160,"Here you guy, flyboi ;E",1638299795
7739,18,48920,5 Years with AOD!,1638626683
7740,18,39290,5 Years with AOD!,1638626947
7744,18,46997,5 Years with AOD!,1638626994
7750,18,26758,5 Years with AOD!,1638627069
7776,19,17836,10 years of service.,1639760348
7780,182,78529,What will you do now that you're done with campaigning?,1640454739
7784,41,36028,Reaper Group Commander,1641265560
7785,41,59896,Officer of the Reaper Operation Group,1641265627
7787,126,81154,For completing all available operations with a five star rating.,1641321054
7793,209,80758,"",1641434017
7795,68,80758,WarBoss with Commander Helmet,1641865875
7796,5,43769,Achieved battle rank 120 and enrolled in the Advanced Specialization Program.,1641873688
7798,18,49472,5 years with AOD!,1642043609
7801,18,49952,5 years with AOD!,1642043765
7802,18,53449,5 years with AOD!,1642043806
7803,18,50058,Congrats on 5 years in AOD!,1642351855
7812,127,81154,Congrats you nutty collector!,1642669842
7816,251,75419,Congratulations on being the first to gain the Master of Arms Achievement,1642871837
7820,248,57510,Congrats on 200 on all refining skills!,1643178234
7821,126,81195,"",1643422855
7827,259,30010,Completed the LMG master directive.,1643751060
7830,259,74148,Completed the LMG master directive.,1643752920
